time_s,step,step_time_s,roll_command_deg,pitch_command_deg,roll_deg,pitch_deg,roll_rate_dps,pitch_rate_dps,roll_target_rate_dps,pitch_target_rate_dps,altitude_m,pwm1,pwm2,pwm3,pwm4
0.016999999999995907,0,0.016999999999995907,0.0,0.0,-1.6475895440912887,-0.08809564651269224,-121.41775936570211,-32.72716559681792,-2.203053397682106,-0.7337451845022259,8.045,1220,1511,1490,1254
0.0379999999999967,0,0.0379999999999967,0.0,0.0,0.45614175064057805,-0.9107987889103245,92.13182065765504,-43.726983764542936,-2.1470701790369198,-0.9687372559271329,8.045,1220,1511,1490,1254
0.06199999999999761,0,0.06199999999999761,0.0,0.0,1.8399857277267928,0.22656380475209628,65.95122062556509,50.49451277910999,7.122919551895273,2.8264772066277275,8.045,1469,1293,1220,1511
0.08100000000000307,0,0.08100000000000307,0.0,0.0,-0.7484247017716115,0.6906300422533436,-123.42088992472677,36.24778660450099,6.058118673499672,2.403948897966045,8.045,1469,1293,1220,1511
0.10500000000000398,0,0.10500000000000398,0.0,0.0,-2.1054152031665394,-0.6444606848675548,-63.354765193719764,-59.49864529400566,5.322005280985303,2.11184774726081,8.045,1469,1293,1220,1511
0.11899999999999977,0,0.11899999999999977,0.0,0.0,-0.5612384050080932,-1.0632473305245398,73.27015764201644,-52.65549242494823,4.529808778309136,1.7974927730226162,8.04,1515,1220,1401,1376
0.14000000000000057,0,0.14000000000000057,0.0,0.0,1.2575185078089182,-0.06923287850051198,97.74700796678172,43.30225528119487,4.129353933497643,1.6385869278783887,8.04,1515,1220,1401,1376
0.15699999999999648,0,0.15699999999999648,0.0,0.0,-0.2748720518847304,0.7148988249523096,-57.61382727178397,59.826105053383586,3.5829661206533028,1.4217723910732658,8.04,1220,1514,1434,1337
0.17900000000000205,0,0.17900000000000205,0.0,0.0,-2.5554689607399617,-0.07707682382384932,-111.57243099791143,-33.79937552291569,3.196097589318022,1.2682569525663534,8.04,1220,1514,1434,1337
0.1979999999999933,0,0.1979999999999933,0.0,0.0,-0.84143923174505,-0.9659579025434666,65.77140906547534,-58.11168659057537,2.753506667186485,1.0926306976122289,8.04,1220,1514,1434,1337
0.22100000000000364,0,0.22100000000000364,0.0,0.0,1.7277359443075704,-0.0014171631589743178,117.40924428522669,42.151061047535066,2.4246223864797924,0.9621247790369143,8.035,1513,1220,1307,1457
0.23699999999999477,0,0.23699999999999477,0.0,0.0,0.4196143792070259,0.8476433380280959,-40.940894960581375,62.83181175991774,2.072903929604102,0.82255754731052,8.035,1513,1220,1307,1457
0.2609999999999957,0,0.2609999999999957,0.0,0.0,-1.7822137465710035,0.0581804851650942,-102.47634023112528,-34.51260095152134,1.8635541492315681,0.739484357674035,8.035,1237,1507,1515,1220
0.277000000000001,0,0.277000000000001,0.0,0.0,-0.34360291148124644,-0.7550091642140624,46.366284973051755,-61.59612125603571,1.580457749173349,0.6271477561471592,8.035,1237,1507,1515,1220
0.29699999999999704,0,0.29699999999999704,0.0,0.0,2.446359463513358,-0.3308118081152373,151.80849483237708,11.181576331728229,1.424853019832353,0.5654015120289217,8.035,1237,1507,1515,1220
0.31799999999999784,0,0.31799999999999784,0.0,0.0,1.4514719745751854,0.9035711681079817,-35.13833165685914,61.70461881100136,1.2446635581824252,0.4938998367852019,8.029,1427,1353,1220,1514
0.3370000000000033,0,0.3370000000000033,0.0,0.0,-0.904822586829975,0.47874583481191213,-140.88146257554232,-7.795776428072038,1.0787030881209265,0.4280443801075554,8.029,1427,1353,1220,1514
0.3569999999999993,0,0.3569999999999993,0.0,0.0,-0.1369983202063158,-0.7838996904644527,19.41095707397477,-65.0922765261118,0.9510045907378988,0.3773718203050391,8.029,1427,1353,1220,1514
0.3789999999999907,0,0.3789999999999907,0.0,0.0,2.510216182724277,-0.1845402254501598,132.26793833399591,22.249708343984423,0.8304197887362922,0.3295220229400156,8.029,1514,1220,1318,1450
0.39699999999999136,0,0.39699999999999136,0.0,0.0,1.7478775318397033,0.9563076990198848,-5.170309340840259,70.73947010168916,0.716059850389506,0.2841423528161567,8.029,1514,1220,1318,1450
0.41799999999999216,0,0.41799999999999216,0.0,0.0,-1.0278517961416527,0.6544493029201696,-140.87860755646923,-5.465991645104696,0.6349352923788845,0.25195108428850477,8.023,1220,1517,1482,1276
0.4380000000000024,0,0.4380000000000024,0.0,0.0,-0.5132914908908085,-0.7136747803478493,2.452022544108945,-72.05466400751014,0.5508909885806411,0.21860107150011757,8.023,1220,1517,1482,1276
0.4609999999999985,0,0.4609999999999985,0.0,0.0,2.35065762762749,-0.38099128695661694,130.38795608570658,13.93617625606874,0.4816639264130943,0.19113078437005354,8.023,1499,1253,1220,1515
0.47700000000000387,0,0.47700000000000387,0.0,0.0,1.7697109785735894,0.5830832176036451,12.905711592404439,63.50654565745579,0.4116759918441785,0.1633586615756131,8.023,1499,1253,1220,1515
0.5,0,0.5,0.0,0.0,-1.4114729994134154,0.3949816221304922,-143.64648707610354,-7.141205675850689,0.37036279223656304,0.1469650202886057,8.023,1499,1253,1220,1515
0.5189999999999912,0,0.5189999999999912,0.0,0.0,-0.8751823939573228,-0.7266925872973646,-6.061961935568275,-63.82959311462988,0.31669124577988217,0.12566743657966134,8.018,1322,1452,1514,1220
0.5379999999999967,0,0.5379999999999967,0.0,0.0,1.865570976027426,-0.6841050771618657,142.79287735439203,-8.739521594939271,0.27920073763207887,0.1107906575773521,8.018,1322,1452,1514,1220
0.5619999999999976,0,0.5619999999999976,0.0,0.0,1.0407325724209449,0.6103315636063233,-33.88107141557821,59.304292261172954,0.24543740501741335,0.09739290134493492,8.018,1381,1407,1220,1518
0.5769999999999982,0,0.5769999999999982,0.0,0.0,-1.1967876673603384,0.4152718196379258,-147.15668521511319,10.756501216279778,0.20875443333683183,0.08283659428487415,8.018,1381,1407,1220,1518
0.5990000000000038,0,0.5990000000000038,0.0,0.0,-1.3746701258963885,-0.9025932771179063,-28.490132877281376,-64.61580252961171,0.18791495254995436,0.07456719621133244,8.018,1381,1407,1220,1518
0.6170000000000044,0,0.6170000000000044,0.0,0.0,1.0781421588353393,-0.9935696893151836,130.7360498465671,-21.71922633416975,0.1628790809102577,0.06463260602226956,8.014,1518,1220,1357,1422
0.6370000000000005,0,0.6370000000000005,0.0,0.0,1.4098423984707806,0.3482058986928797,36.192619166574794,64.69248506342345,0.14430302076065935,0.057261371154477915,8.014,1518,1220,1357,1422
0.6569999999999965,0,0.6569999999999965,0.0,0.0,-1.5828160854277074,0.6356541697890283,-147.79668760072173,25.733458282980475,0.12597780998050023,0.049989690962913835,8.014,1220,1514,1470,1290
0.6799999999999926,0,0.6799999999999926,0.0,0.0,-2.277198302773768,-0.7008747923998339,-40.039040197667475,-61.61228831380113,0.10993753760154842,0.04362468503313589,8.014,1220,1514,1470,1290
0.6989999999999981,0,0.6989999999999981,0.0,0.0,0.12549167927045252,-0.8611651382331642,125.53798902024226,-24.590818861256118,0.09410246438238788,0.03734111443497581,8.014,1220,1514,1470,1290
0.7189999999999941,0,0.7189999999999941,0.0,0.0,0.575077382122744,0.38520073787818104,41.93836895678087,59.532297636046316,0.0830211961554496,0.03294392002262226,8.012,1504,1249,1220,1518
0.7459999999999951,0,0.7459999999999951,0.0,0.0,-3.0326639690843105,0.3595806182601839,-147.86844556814188,-7.348500636500107,0.07244605561817985,0.02874756252033617,8.012,1504,1249,1220,1518
0.7579999999999956,0,0.7579999999999956,0.0,0.0,-3.114467864113084,-0.31485504547105947,-79.42322234828164,-49.23800385863777,0.06045709927325052,0.023990185686023537,8.012,1346,1435,1517,1220
0.7809999999999917,0,0.7809999999999917,0.0,0.0,0.16157364766492582,-0.6453350024421693,147.01542324269897,-15.955156269062414,0.055794427947659,0.022139978153316996,8.012,1346,1435,1517,1220
0.796999999999997,0,0.796999999999997,0.0,0.0,1.0671744758538855,0.2675381629438557,105.58250535997198,48.98042376465824,0.04768841413556208,0.01892340094880399,8.012,1346,1435,1517,1220
0.8199999999999932,0,0.8199999999999932,0.0,0.0,-1.5889100015495339,0.9634907101492111,-119.95760152493678,35.20365900117572,0.04291063678017866,0.017027516526022992,8.01,1220,1516,1245,1497
0.8370000000000033,0,0.8370000000000033,0.0,0.0,-2.7561480294045757,0.09715860718010497,-101.95252619348783,-40.354577861849144,0.036763429841580826,0.014588220185142727,8.01,1220,1516,1245,1497
0.8629999999999995,0,0.8629999999999995,0.0,0.0,0.6153710159141763,-0.42153803795373646,145.50790487022877,-16.018185254723292,0.03279100449350397,0.013011911409034297,8.01,1220,1516,1245,1497
0.8789999999999907,0,0.8789999999999907,0.0,0.0,1.5014179463243151,0.6116949333976814,96.60227509207677,54.69383260914431,0.02747990709132424,0.010904397843688683,8.01,1492,1260,1220,1513
0.8979999999999961,0,0.8979999999999961,0.0,0.0,-0.4321670396018928,1.3589542875030123,-85.6050421509526,54.0963037548895,0.024650409513680555,0.009781615462748418,8.01,1492,1260,1220,1513
0.9189999999999969,0,0.9189999999999969,0.0,0.0,-1.9955742353685098,0.41676619032313056,-92.86810138980407,-40.92032926099047,0.02172887780501359,0.008622310079294431,8.01,1220,1518,1483,1277
0.9369999999999976,0,0.9369999999999976,0.0,0.0,0.25184084076643254,-0.3554341064646044,99.02619994548756,-51.0248496474048,0.018868697736957735,0.007487351418735164,8.01,1220,1518,1483,1277
0.9590000000000032,0,0.9590000000000032,0.0,0.0,2.317748068659076,0.5776613280631243,116.73380687820412,40.336354917143545,0.016698685272663858,0.006626261499294257,8.01,1476,1283,1220,1511
0.9779999999999944,0,0.9779999999999944,0.0,0.0,0.3285528030885349,1.382970726728658,-84.84398149249475,49.35265882914018,0.014415117578365217,0.005720110423995447,8.01,1476,1283,1220,1511
0.9989999999999952,0,0.9989999999999952,0.0,0.0,-1.5724305693512914,0.3529044551920402,-108.59993267112188,-44.79915612460027,0.012629630090108514,0.00501160502963224,8.01,1476,1283,1220,1511
1.0180000000000007,0,1.0180000000000007,0.0,0.0,0.22053989806926239,-0.5231333665979738,72.31606900742487,-59.508473936221314,0.010998533058294534,0.004364363313849206,8.011,1417,1367,1516,1220
1.036999999999992,0,1.036999999999992,0.0,0.0,2.370879683325782,0.1882080103540302,131.48741163640352,26.246113499061416,0.009687147576575328,0.003843989110222186,8.011,1417,1367,1516,1220
1.0579999999999927,0,1.0579999999999927,0.0,0.0,0.6461566528549807,1.2769547715875416,-71.10168186356411,56.390642844272236,0.008522098397565651,0.003381682145022686,8.011,1220,1520,1388,1394
1.0769999999999982,0,1.0769999999999982,0.0,0.0,-1.6019166027199423,0.4899540685181972,-141.6627132731867,-28.597602488776943,0.007381064103646778,0.0029289048862033073,8.011,1220,1520,1388,1394
